participant_name,Community,LLMnote,tie,total,community_rate,llm_rate,tie_rate
122,10,10,0,20,0.5,0.5,0.0
201,19,1,0,20,0.95,0.05,0.0
205,7,13,0,20,0.35,0.65,0.0
207,18,2,0,20,0.9,0.1,0.0
208,9,11,0,20,0.45,0.55,0.0
210,3,17,0,20,0.15,0.85,0.0
212,12,8,0,20,0.6,0.4,0.0
215,16,4,0,20,0.8,0.2,0.0
217,11,9,0,20,0.55,0.45,0.0
218,1,19,0,20,0.05,0.95,0.0
219,20,0,0,20,1.0,0.0,0.0
224,7,13,0,20,0.35,0.65,0.0
225,7,13,0,20,0.35,0.65,0.0
232,1,19,0,20,0.05,0.95,0.0
233,13,7,0,20,0.65,0.35,0.0
234,3,17,0,20,0.15,0.85,0.0
235,5,15,0,20,0.25,0.75,0.0
236,2,18,0,20,0.1,0.9,0.0
237,5,15,0,20,0.25,0.75,0.0
238,14,6,0,20,0.7,0.3,0.0
242,18,2,0,20,0.9,0.1,0.0
244,15,5,0,20,0.75,0.25,0.0
245,4,16,0,20,0.2,0.8,0.0
247,19,1,0,20,0.95,0.05,0.0
248,8,12,0,20,0.4,0.6,0.0
250,10,10,0,20,0.5,0.5,0.0
255,0,20,0,20,0.0,1.0,0.0
274,4,16,0,20,0.2,0.8,0.0
276,5,15,0,20,0.25,0.75,0.0
277,10,10,0,20,0.5,0.5,0.0
278,18,2,0,20,0.9,0.1,0.0
297,3,17,0,20,0.15,0.85,0.0
298,9,11,0,20,0.45,0.55,0.0
么旭,16,4,0,20,0.8,0.2,0.0
尚燕军,9,11,0,20,0.45,0.55,0.0
邓石雪钰,1,19,0,20,0.05,0.95,0.0
