participant_name,Community,LLMnote,tie,total,community_rate,llm_rate,tie_rate
301,6,14,0,20,0.3,0.7,0.0
303,4,16,0,20,0.2,0.8,0.0
304,6,14,0,20,0.3,0.7,0.0
306,13,7,0,20,0.65,0.35,0.0
307,12,8,0,20,0.6,0.4,0.0
308,3,17,0,20,0.15,0.85,0.0
311,0,20,0,20,0.0,1.0,0.0
313,9,11,0,20,0.45,0.55,0.0
314,1,19,0,20,0.05,0.95,0.0
315,12,8,0,20,0.6,0.4,0.0
316,3,17,0,20,0.15,0.85,0.0
318,1,19,0,20,0.05,0.95,0.0
319,6,14,0,20,0.3,0.7,0.0
321,3,17,0,20,0.15,0.85,0.0
322,5,15,0,20,0.25,0.75,0.0
323,7,13,0,20,0.35,0.65,0.0
325,10,10,0,20,0.5,0.5,0.0
326,1,19,0,20,0.05,0.95,0.0
328,6,14,0,20,0.3,0.7,0.0
330,9,11,0,20,0.45,0.55,0.0
331,0,20,0,20,0.0,1.0,0.0
333,0,20,0,20,0.0,1.0,0.0
334,10,10,0,20,0.5,0.5,0.0
337,7,13,0,20,0.35,0.65,0.0
338,3,17,0,20,0.15,0.85,0.0
339,7,13,0,20,0.35,0.65,0.0
341,3,17,0,20,0.15,0.85,0.0
342,2,18,0,20,0.1,0.9,0.0
375,2,18,0,20,0.1,0.9,0.0
376,7,13,0,20,0.35,0.65,0.0
377,17,3,0,20,0.85,0.15,0.0
381,14,6,0,20,0.7,0.3,0.0
382,9,11,0,20,0.45,0.55,0.0
418,1,19,0,20,0.05,0.95,0.0
430,12,8,0,20,0.6,0.4,0.0
贾辰雨,4,16,0,20,0.2,0.8,0.0
